maneuver_id,time_since_start,drone_name,velocity_magnitude
20260129_010825,0.0008,crazyflie,0.0000
20260129_010825,0.0009,crazyflie2,0.0000
20260129_010825,0.0010,crazyflie3,0.0000
20260129_010825,0.0011,crazyflie4,0.0000
20260129_010825,0.0012,crazyflie5,0.0002
20260129_010825,0.0013,crazyflie6,0.0000
20260129_010825,0.0014,crazyflie7,0.0000
20260129_010825,0.0014,crazyflie8,0.0000
20260129_010825,0.0015,crazyflie9,0.0001
20260129_010825,0.0016,crazyflie10,0.0001
20260129_010825,0.0019,crazyflie,0.0000
20260129_010825,0.0020,crazyflie2,0.0000
20260129_010825,0.0020,crazyflie3,0.0000
20260129_010825,0.0021,crazyflie4,0.0000
20260129_010825,0.0022,crazyflie5,0.0001
20260129_010825,0.0023,crazyflie6,0.0000
20260129_010825,0.0024,crazyflie7,0.0000
20260129_010825,0.0025,crazyflie8,0.0000
20260129_010825,0.0025,crazyflie9,0.0001
20260129_010825,0.0027,crazyflie10,0.0002
20260129_010825,0.0033,crazyflie,0.0000
20260129_010825,0.0035,crazyflie2,0.0000
20260129_010825,0.0035,crazyflie3,0.0000
20260129_010825,0.0036,crazyflie4,0.0000
20260129_010825,0.0037,crazyflie5,0.0001
20260129_010825,0.0038,crazyflie6,0.0000
20260129_010825,0.0039,crazyflie7,0.0000
20260129_010825,0.0039,crazyflie8,0.0000
20260129_010825,0.0040,crazyflie9,0.0002
20260129_010825,0.0041,crazyflie10,0.0001
20260129_010825,0.0044,crazyflie,0.0000
20260129_010825,0.0045,crazyflie2,0.0000
20260129_010825,0.0046,crazyflie3,0.0000
20260129_010825,0.0047,crazyflie4,0.0000
20260129_010825,0.0048,crazyflie5,0.0001
20260129_010825,0.0048,crazyflie6,0.0000
20260129_010825,0.0049,crazyflie7,0.0000
20260129_010825,0.0050,crazyflie8,0.0000
20260129_010825,0.0051,crazyflie9,0.0002
20260129_010825,0.0051,crazyflie10,0.0001
20260129_010825,0.0054,crazyflie,0.0000
20260129_010825,0.0055,crazyflie2,0.0000
20260129_010825,0.0056,crazyflie3,0.0000
